Image,Prediction,Confidence
NORMAL2-IM-1430-0001.jpeg,PNEUMONIA,73.71
NORMAL2-IM-1436-0001.jpeg,PNEUMONIA,73.66
NORMAL2-IM-1440-0001.jpeg,PNEUMONIA,73.56
NORMAL2-IM-1442-0001.jpeg,PNEUMONIA,73.63
NORMAL2-IM-1436-0001.jpeg,PNEUMONIA,73.66
NORMAL2-IM-1431-0001.jpeg,NORMAL,43.44
NORMAL2-IM-1436-0001.jpeg,NORMAL,37.18
NORMAL2-IM-1436-0001.jpeg,NORMAL,37.18
NORMAL2-IM-1442-0001.jpeg,NORMAL,27.66
NORMAL2-IM-1436-0001.jpeg,NORMAL,62.82
NORMAL2-IM-1430-0001.jpeg,NORMAL,54.53
NORMAL2-IM-1442-0001.jpeg,NORMAL,72.34
